Sample_Index,Time_s,Clean_ADC
0,0,4.00902774476994
1,0.25,-0.566355363165895
2,0.5,-5.03159806564556
3,0.75,-9.30607691900816
4,1,-13.3193845285561
5,1.25,-17.0148082916568
6,1.5,-20.3518184984601
7,1.75,-23.3073979791569
8,2,-25.8761436233554
9,2.25,-28.0691696930294
10,2.5,-29.9119375137183
11,2.75,-31.4412200161733
12,3,-32.7014760770299
13,3.25,-33.7409513750783
14,3.5,-34.6078333832638
15,3.75,-35.3467655578948
16,4,-35.9959723139328
17,4.25,-36.5851696942524
18,4.5,-37.1343482585337
19,4.75,-37.6534277633871
20,5,-38.1427097767147
21,5.25,-38.5940027526537
22,5.5,-38.992266639902
23,5.75,-39.3176168146358
24,6,-39.5475316310942
25,6.25,-39.659115248675
26,6.5,-39.6312723869133
27,6.75,-39.4466551469189
28,7,-39.0932500675819
29,7.25,-38.5654933607355
30,7.5,-37.8648373752908
31,7.75,-36.9997393073788
32,8,-35.985096897756
33,8.25,-34.8412074187129
34,8.5,-33.5923698787516
35,8.75,-32.2652824289316
36,9,-30.8874038959728
37,9.25,-29.485445619646
38,9.5,-28.0841335297651
39,9.75,-26.7053314461424
40,10,-25.3675530702804
41,10.25,-24.0858265122076
42,10.5,-22.8718270930186
43,10.75,-21.734171935007
44,11,-20.6787746121958
45,11.25,-19.7091824463406
46,11.5,-18.8268512175727
47,11.75,-18.0313412318685
48,12,-17.3204381680514
49,12.25,-16.6902105877549
50,12.5,-16.1350168016521
51,12.75,-15.6474729883107
52,13,-15.2183977957042
53,13.25,-14.8367585642062
54,13.5,-14.4896584299273
55,13.75,-14.1624156776092
56,14,-13.8387897523046
57,14.25,-13.5013978846301
58,14.5,-13.1323427228592
59,14.75,-12.7140397888932
60,15,-12.2302015391349
61,15.25,-11.6669091185277
62,15.5,-11.0136870966752
63,15.75,-10.2644903857975
64,16,-9.4185138421021
65,16.25,-8.48074168801844
66,16.5,-7.46216559292565
67,16.75,-6.3796183341199
68,17,-5.25519584840325
69,17.25,-4.11527405133927
70,17.5,-2.98916549988297
71,17.75,-1.90750005939705
72,18,-0.900447373888475
73,18.25,0.00407830425320826
74,18.5,0.782082278692479
75,18.75,1.41488205765968
76,19,1.89011166175504
77,19.25,2.20225722981935
78,19.5,2.35268808094581
79,19.75,2.34919385317271
80,20,2.20508065187403
81,20.25,1.93791309488884
82,20.5,1.56801353904802
83,20.75,1.11684584215203
84,21,0.605420349457596
85,21.25,0.0528591877252969
86,21.5,-0.524746363031849
87,21.75,-1.11507571627305
88,22,-1.70984280164758
89,22.25,-2.30456314254788
90,22.5,-2.89786479467628
91,22.75,-3.49044395045594
92,23,-4.08381412794975
93,23.25,-4.67902461375774
94,23.5,-5.27552351928782
95,23.75,-5.87031253699352
96,24,-6.45748893495022
97,24.25,-7.02820569884426
98,24.5,-7.5710168915206
99,24.75,-8.07252607013178
100,25,-8.51823028730584
101,25.25,-8.89345237165612
102,25.5,-9.18427330361046
103,25.75,-9.37840291931168
104,26,-9.46594927256712
105,26.25,-9.44005815249127
106,26.5,-9.29739516693186
107,26.75,-9.03843990648019
108,27,-8.66756296692361
109,27.25,-8.19286708644269
110,27.5,-7.62579331658837
111,27.75,-6.98051767322824
112,28,-6.27318707031486
113,28.25,-5.52106021840461
114,28.5,-4.74162624789593
115,28.75,-3.95177003459599
116,29,-3.16703971657462
117,29.25,-2.40105190961204
118,29.5,-1.66504845846537
119,29.75,-0.967600579841088
120,30,-0.314446354701319
121,30.25,0.291552569904139
122,30.5,0.850341534591703
123,30.75,1.36448712828543
124,31,1.83886606335112
125,31.25,2.2802235971594
126,31.5,2.69661072177239
127,31.75,3.09672951275531
128,32,3.48923462026374
129,32.25,3.88204914291815
130,32.5,4.28175233956176
131,32.75,4.69308704827833
132,33,5.11862146153336
133,33.25,5.55858761979018
134,33.5,6.01090895796571
135,33.75,6.47141942617641
136,34,6.93426394345051
137,34.25,7.39245285409368
138,34.5,7.83852368232292
139,34.75,8.26524673576291
140,35,8.66630258767849
141,35.25,9.03686293845679
142,35.5,9.37402211017574
143,35.75,9.67705099777358
144,36,9.94747252167552
145,36.25,10.1889807411713
146,36.5,10.4072398570098
147,36.75,10.6096026979089
148,37,10.8047821115055
149,37.25,11.0024950877932
150,37.5,11.2130801735222
151,37.75,11.4470658591747
152,38,11.7146457063085
153,38.25,12.0250033066976
154,38.5,12.3854367928971
155,38.75,12.8002655540925
156,39,13.2695598505408
157,39.25,13.7878057403653
158,39.5,14.342684352062
159,39.75,14.9141865815488
160,40,15.4742887517329
161,40.25,15.9873791671561
162,40.5,16.4115570951698
163,40.75,16.700836776051
164,41,16.8081911119468
165,41.25,16.6892700144962
166,41.5,16.3065308821367
167,41.75,15.633428017949
168,42,14.6582341625736
169,42.25,13.3870279850999
170,42.5,11.845397366621
171,42.75,10.0784966922878
172,43,8.14926113859056
173,43.25,6.13480642594905
174,43.5,4.12129270184325
175,43.75,2.19775679598115
176,44,0.449568879085369
177,44.25,-1.04778581417503
178,44.5,-2.23396840185107
179,44.75,-3.067619382984
180,45,-3.52850216459233
181,45.25,-3.61791103852743
182,45.5,-3.35748071713893
183,45.75,-2.78666472182384
184,46,-1.95922151269386
185,46.25,-0.939066630452127
186,46.5,0.20416953006325
187,46.75,1.39957795623513
188,47,2.57914538577699
189,47.25,3.6814520982546
190,47.5,4.65471627603092
191,47.75,5.45904823094044
192,48,6.06782595012063
193,48.25,6.46816111067126
194,48.5,6.66048851639839
195,48.75,6.65737526409065
196,49,6.48170131394279
197,49.25,6.16440315607468
198,49.5,5.74199040073584
199,49.75,5.25403699997571
200,50,4.74081454126508
201,50.25,4.24118136288788
202,50.5,3.79078138840536
203,50.75,3.42055678282147
204,51,3.15555169200151
205,51.25,3.0139840008461
206,51.5,3.00658041249633
207,51.75,3.13619186010617
208,52,3.39771648792715
209,52.25,3.77834935438479
210,52.5,4.25815517861279
211,52.75,4.81093325746104
212,53,5.40532293631598
213,53.25,6.00608995331126
214,53.5,6.57553872998833
215,53.75,7.07500868751119
216,54,7.46642717070977
217,54.25,7.71390097837441
218,54.5,7.78532823725638
219,54.75,7.65400104918603
220,55,7.30014927354707
221,55.25,6.71235231240046
222,55.5,5.88872558061403
223,55.75,4.83777751548026
224,56,3.57883522292195
225,56.25,2.14195305553946
226,56.5,0.567247221001716
227,56.75,-1.09636173511811
228,57,-2.79297152016849
229,57.25,-4.46201136173184
230,57.5,-6.04092726818194
