Sample_Index,Time_s,Clean_ADC
0,0,-98.1894479580987
1,0.25,-109.116425447291
2,0.5,-119.671051707595
3,0.75,-129.614606568224
4,1,-138.740447425412
5,1.25,-146.884389337413
6,1.5,-153.932304306247
7,1.75,-159.824497682086
8,2,-164.556691741805
9,2.25,-168.177698508231
10,2.5,-170.784072872315
11,2.75,-172.512195320693
12,3,-173.528345734728
13,3.25,-174.017406095888
14,3.5,-174.170878563776
15,3.75,-174.174926875763
16,4,-174.199136519549
17,4.25,-174.386633934542
18,4.5,-174.846104491637
19,4.75,-175.64611214499
20,5,-176.811970016701
21,5.25,-178.325263563014
22,5.5,-180.126002849517
23,5.75,-182.117281963646
24,6,-184.172244187704
25,6.25,-186.143078148015
26,6.5,-187.871691386226
27,6.75,-189.201618813103
28,7,-189.990627063175
29,7.25,-190.123380846457
30,7.5,-189.523456889761
31,7.75,-188.163939332247
32,8,-186.075820642875
33,8.25,-183.353473476992
34,8.5,-180.156554551385
35,8.75,-176.707847976096
36,9,-173.286742947938
37,9.25,-170.218255763255
38,9.5,-167.857734237247
39,9.75,-166.571611734368
40,10,-166.714801294826
41,10.25,-168.605537019277
42,10.5,-172.498682856143
43,10.75,-178.558739417147
44,11,-186.833980349049
45,11.25,-197.233321233236
46,11.5,-209.507634089685
47,11.75,-223.237232917585
48,12,-237.827141054285
49,12.25,-252.511497557987
50,12.5,-266.36807594223
51,12.75,-278.343398559903
52,13,-287.288364094103
53,13.25,-292.00369295961
54,13.5,-291.29386178872
55,13.75,-284.027569649088
56,14,-269.202186236719
57,14.25,-246.009113638297
58,14.5,-213.896589280188
59,14.75,-172.626205542385
60,15,-122.319347865702
61,15.25,-63.4898725134659
62,15.5,2.94033376432434
63,15.75,75.645731612362
64,16,152.923476445504
65,16.25,232.742686756369
66,16.5,312.816182060526
67,16.75,390.692542226543
68,17,463.864472541736
69,17.25,529.887649053867
70,17.5,586.50276090849
71,17.75,631.752644291949
72,18,664.086403106922
73,18.25,682.443266873005
74,18.5,686.310517898719
75,18.75,675.751881746338
76,19,651.405025638222
77,19.25,614.448980360185
78,19.5,566.54419395993
79,19.75,509.749428292199
80,20,446.420788328965
81,20.25,379.098848315956
82,20.5,310.390149602542
83,20.75,242.849329474995
84,21,178.867820862508
85,21.25,120.574455735014
86,21.5,69.7524417274482
87,21.75,27.7761241959854
88,22,-4.43021565739163
89,22.25,-26.4104473952775
90,22.5,-38.1715961208686
91,22.75,-40.1568296708096
92,23,-33.198461322753
93,23.25,-18.4539428123256
94,23.5,2.67125612780102
95,23.75,28.6091434892193
96,24,57.717709926802
97,24.25,88.3668400041562
98,24.5,119.016329403331
99,24.75,148.281593302989
100,25,174.984015483899
101,25.25,198.184496934789
102,25.5,217.200327744592
103,25.75,231.606779635272
104,26,241.225666037645
105,26.25,246.103541285427
106,26.5,246.482302873878
107,26.75,242.764842425734
108,27,235.478159037346
109,27.25,225.236054254135
110,27.5,212.703186357133
111,27.75,198.561876696378
112,28,183.482645710424
113,28.25,168.099041651486
114,28.5,152.986953445182
115,28.75,138.648311738549
116,29,125.49890499643
117,29.25,113.859972566289
118,29.5,103.953261271966
119,29.75,95.8993057587813
120,30,89.7187699880696
121,30.25,85.3367333700185
122,30.5,82.5898091219956
123,30.75,81.2359591672358
124,31,80.966846110543
125,31.25,81.4225548254138
126,31.5,82.2085119886897
127,31.75,82.9143931279719
128,32,83.1346925020492
129,32.25,82.4904305063223
130,32.5,80.6512247806211
131,32.75,77.3567332989181
132,33,72.4363721817586
133,33.25,65.8262573775539
134,33.5,57.582486687864
135,33.75,47.8900722014559
136,34,37.0669383609379
137,34.25,25.5623450967381
138,34.5,13.9488990041009
139,34.75,2.90710266845048
140,35,-6.79864768964288
141,35.25,-14.3533943083332
142,35.5,-18.9343067951473
143,35.75,-19.7616183483084
144,36,-16.1553677763249
145,36.25,-7.59424664228015
146,36.5,6.22807602878119
147,36.75,25.3541998628212
148,37,49.5267198928768
149,37.25,78.1686968533628
