Sample_Index,Time_s,Clean_ADC
0,0,-10.0359430037809
1,0.25,1.44670529497769
2,0.5,12.6040528000081
3,0.75,23.1175329096401
4,1,32.6850984744507
5,1.25,41.0290592023796
6,1.5,47.9034901717013
7,1.75,53.1012030040562
8,2,56.4602243435993
9,2.25,57.8696236859716
10,2.5,57.2744152286118
11,2.75,54.6791509222246
12,3,50.1497374277388
13,3.25,43.8129723098212
14,3.5,35.8533479679794
15,3.75,26.5068562845561
16,4,16.0518428554579
17,4.25,4.79734539634494
18,4.5,-6.93029832393253
19,4.75,-18.8015706934837
20,5,-30.4975831753428
21,5.25,-41.7226566094273
22,5.5,-52.2149722622977
23,5.75,-61.754834410819
24,6,-70.1703056051624
25,6.25,-77.3401605002247
26,6.5,-83.1942591631042
27,6.75,-87.7115759098192
28,7,-90.9162373628956
29,7.25,-92.87201625076
30,7.5,-93.6757837526189
31,7.75,-93.4504343979899
32,8,-92.3377634847548
33,8.25,-90.4917061030015
34,8.5,-88.0722522540195
35,8.75,-85.2402469392824
36,9,-82.1531765818156
37,9.25,-78.961939441634
38,9.5,-75.8085027282307
39,9.75,-72.824269691519
40,10,-70.1289251174403
41,10.25,-67.8295060196688
42,10.5,-66.0194599253391
43,10.75,-64.7775021708889
44,11,-64.1661546668748
45,11.25,-64.2299269866563
46,11.5,-64.9931744417954
47,11.75,-66.4577319019827
48,12,-68.6004778703467
49,12.25,-71.3710344658335
50,12.5,-74.6898567636917
51,12.75,-78.4470058876837
52,13,-82.5019270924386
53,13.25,-86.6845587014464
54,13.5,-90.7980734533745
55,13.75,-94.6234958110532
56,14,-97.9263439866728
57,14.25,-100.465312803099
58,14.5,-102.002846331895
59,14.75,-102.317258119081
60,15,-101.215860783688
61,15.25,-98.548390470691
62,15.5,-94.2198785934401
63,15.75,-88.2020486895822
64,16,-80.542303169949
65,16.25,-71.3694069216662
66,16.5,-60.8950646066823
67,16.75,-49.4107274155723
68,17,-37.2791690974952
69,17.25,-24.9206675321166
70,17.5,-12.7940405046756
71,17.75,-1.37331073747037
72,18,8.87863129946306
73,18.25,17.5374353743187
74,18.5,24.2434387585902
75,18.75,28.7241126768294
76,19,30.8106272945503
77,19.25,30.4469684530943
78,19.5,27.6908979089508
79,19.75,22.7069791739198
80,20,15.7527144555223
81,20.25,7.15942442207801
82,20.5,-2.69020179418259
83,20.75,-13.3859336599716
84,21,-24.5134277812334
85,21.25,-35.6757784799522
86,21.5,-46.5120542331563
87,21.75,-56.7120275025864
88,22,-66.0266279580544
89,22.25,-74.2739439830162
90,22.5,-81.3408620589118
91,22.75,-87.1806625791369
92,23,-91.8070754821594
93,23.25,-95.2854334103585
94,23.5,-97.72164408217
95,23.75,-99.2497447645491
96,24,-100.018811360073
97,24.25,-100.179982012154
98,24.5,-99.8743242214788
99,24.75,-99.2222242548003
100,25,-98.314905336838
101,25.25,-97.2085849767648
102,25.5,-95.9216612730024
103,25.75,-94.4351722152881
104,26,-92.6965986941098
105,26.25,-90.626880301204
106,26.5,-88.1302889171764
107,26.75,-85.1065754193082
108,27,-81.4645965278404
109,27.25,-77.1364713277664
110,27.5,-72.0912316939411
111,27.75,-66.3469225996203
112,28,-59.9801643901643
113,28.25,-53.1322865287597
114,28.5,-46.0112602138328
115,28.75,-38.8887879661312
116,29,-32.0920605323626
117,29.25,-25.9898840709121
118,29.5,-20.9731307667565
119,29.75,-17.4297793459292
120,30,-15.7151793176509
121,30.25,-16.1185746675553
122,30.5,-18.8273370189614
123,30.75,-23.8907657832014
