Sample_Index,Time_s,Clean_ADC
0,0,23.7837501597149
1,0.25,18.254234543271
2,0.5,12.7353471053134
3,0.75,7.31616113695042
4,1,2.08346624374331
5,1.25,-2.8791203814856
6,1.5,-7.49204329253651
7,1.75,-11.6807179236537
8,2,-15.3764531388073
9,2.25,-18.5173680102273
10,2.5,-21.0492871987424
11,2.75,-22.9266149564676
12,3,-24.113205082155
13,3.25,-24.5832515002891
14,3.5,-24.3222144133146
15,3.75,-23.327771127025
16,4,-21.610747157433
17,4.25,-19.1959542071662
18,4.5,-16.1228475235676
19,4.75,-12.4459204814022
20,5,-8.23477543683712
21,5.25,-3.57383648350122
22,5.5,1.43831183947306
23,5.75,6.68997657759768
24,6,12.0578390792554
25,6.25,17.408947656115
26,6.5,22.6033401143456
27,6.75,27.4974395107669
28,7,31.9483545589451
29,7.25,35.8191543437443
30,7.5,38.9850668578263
31,7.75,41.3403731536648
32,8,42.8055491182118
33,8.25,43.3339805118493
34,8.5,42.9173999176367
35,8.75,41.5891338217352
36,9,39.42436204731
37,9.25,36.5369013847631
38,9.5,33.0724931684194
39,9.75,29.1991038495712
40,10,25.0952094127067
41,10.25,20.9373147160008
42,10.5,16.8880009876566
43,10.75,13.0856164373038
44,11,9.63640269248383
45,11.25,6.60948277130686
46,11.5,4.03480905830393
47,11.75,1.90392862035584
48,12,0.173273039683547
49,12.25,-1.23040294415916
50,12.5,-2.40285790145989
51,12.75,-3.4539378653423
52,13,-4.49839020288316
53,13.25,-5.6464568999822
54,13.5,-6.99481395624453
55,13.75,-8.61843082882995
56,14,-10.5639043133239
57,14.25,-12.8447690203389
58,14.5,-15.4391958227135
59,14.75,-18.2903555160267
60,15,-21.3095471381712
61,15.25,-24.3819769255033
62,15.5,-27.3748429721501
63,15.75,-30.1471593301704
64,16,-32.5605726284552
65,16.25,-34.4903128122957
66,16.5,-35.8353966056766
67,16.75,-36.5272728237274
68,17,-36.5362514403204
69,17.25,-35.8752676176848
70,17.5,-34.6007635162899
71,17.75,-32.8106905569903
72,18,-30.6398174057479
73,18.25,-28.2526625718413
74,18.5,-25.8344576887186
75,18.75,-23.5806015316817
76,19,-21.6851042135629
77,19.25,-20.3285645726414
78,19.5,-19.6662859228603
79,19.75,-19.8172208318143
80,20,-20.8545328526456
81,20.25,-22.7986386438147
82,20.5,-25.6135939463548
83,20.75,-29.2075526725277
84,21,-33.4377235147166
85,21.25,-38.1197866534132
86,21.5,-43.0411875983836
87,21.75,-47.9772095079491
88,22,-52.70835240964
89,22.25,-57.0373895308283
90,22.5,-60.8045396852562
91,22.75,-63.8994509897078
92,23,-66.2690684205566
93,23.25,-67.9208868758143
94,23.5,-68.9215169204006
95,23.75,-69.3908748050114
96,24,-69.4926296050631
97,24.25,-69.4217864129576
98,24.5,-69.3904485160146
99,24.75,-69.6128780029623
100,25,-70.2909576974672
101,25.25,-71.6010438303365
102,25.5,-73.6829930164646
103,25.75,-76.6318710551105
104,26,-80.4925482807795
105,26.25,-85.2571129311676
106,26.5,-90.8648404438049
107,26.75,-97.2043681415763
108,27,-104.117734585711
109,27.25,-111.40601850543
110,27.5,-118.836410373918
111,27.75,-126.150630782249
112,28,-133.074646842018
113,28.25,-139.329619735224
114,28.5,-144.643946773398
