Sample_Index,Time_s,Clean_ADC
0,0,6.25845690764676
1,0.25,11.2472586447931
2,0.5,16.2056217663899
3,0.75,21.0882444197817
4,1,25.8475940827788
5,1.25,30.4336193023892
6,1.5,34.7939115135887
7,1.75,38.8744070547628
8,2,42.620668162764
9,2.25,45.9797162357028
10,2.5,48.9023184870307
11,2.75,51.3455606919214
12,3,53.2754849257138
13,3.25,54.6695408701028
14,3.5,55.5185976139116
15,3.75,55.828291066917
16,4,55.6195376590218
17,4.25,54.9281220710775
18,4.5,53.8033561121847
19,4.75,52.3058954168739
20,5,50.5048773424819
21,5.25,48.4745965277908
22,5.5,46.2909586266246
23,5.75,44.0279491575388
24,6,41.7543304055145
25,6.25,39.5307447532413
26,6.5,37.407366333967
27,6.75,35.4222087061506
28,7,33.6001632082101
29,7.25,31.9528060429781
30,7.5,30.478967515855
31,7.75,29.1660040039582
32,8,27.991658059476
33,8.25,26.9263449682634
34,8.5,25.9356757094705
35,8.75,24.9830227308885
36,9,24.0319555426472
37,9.25,23.0484111690854
38,9.5,22.0025103918669
39,9.75,20.8699749589289
40,10,19.6331359866507
41,10.25,18.2815452717329
42,10.5,16.8122090865211
43,10.75,15.2294630475697
44,11,13.5445050595963
45,11.25,11.7746090874617
46,11.5,9.94205892714419
47,11.75,8.07286488204707
48,12,6.19534899927306
49,12.25,4.33869746940044
50,12.5,2.53157697165408
51,12.75,0.800895886168792
52,13,-0.829233313352979
53,13.25,-2.33830065632238
54,13.5,-3.70996737857837
55,13.75,-4.93240704326681
56,14,-5.99844160338631
57,14.25,-6.90550409109417
58,14.5,-7.65546648266932
59,14.75,-8.25437417307937
60,15,-8.71212412191659
61,15.25,-9.04210982752898
62,15.5,-9.26083423063798
63,15.75,-9.38746723475707
64,16,-9.44330604508276
65,16.25,-9.45109122607212
66,16.5,-9.43414248559832
67,16.75,-9.41530406140992
68,17,-9.415724995672
69,17.25,-9.45353783101624
70,17.5,-9.54253365210649
71,17.75,-9.69095588944324
72,18,-9.90054496311057
73,18.25,-10.1659576829801
74,18.5,-10.4746592909556
75,18.75,-10.8073454143181
76,19,-11.1389018820866
77,19.25,-11.4398592455149
78,19.5,-11.6782522430896
79,19.75,-11.8217570638838
80,20,-11.8399539879561
81,20.25,-11.7065512219812
82,20.5,-11.4014078457452
83,20.75,-10.9122092591753
84,21,-10.2356759636541
85,21.25,-9.37822326992894
86,21.5,-8.35603152807565
87,21.75,-7.19452870091278
88,22,-5.92732481749431
89,22.25,-4.59466811663654
90,22.5,-3.24151519841916
91,22.75,-1.91532392285867
92,23,-0.663690092645195
93,23.25,0.468042275866705
94,23.5,1.43906334190732
95,23.75,2.21514200549493
96,24,2.77031473880552
97,24.25,3.08812316032069
98,24.5,3.16233522537271
99,24.75,2.997119346205
100,25,2.60667426857626
101,25.25,2.01434605983579
102,25.5,1.25128566777807
103,25.75,0.354717779329617
104,26,-0.634092620676856
105,26.25,-1.67207312617241
106,26.5,-2.71665664587769
107,26.75,-3.72804122815823
108,27,-4.67125964360065
109,27.25,-5.51792900680198
110,27.5,-6.24757040844962
111,27.75,-6.84841686768434
112,28,-7.31766061648451
113,28.25,-7.66112531359385
114,28.5,-7.89238521279893
115,28.75,-8.03139208049707
116,29,-8.10271017900908
117,29.25,-8.13349524508625
118,29.5,-8.15137888237837
119,29.75,-8.18243001724758
120,30,-8.24935766836857
121,30.25,-8.37009456712144
122,30.5,-8.55686123072771
123,30.75,-8.81575846798997
124,31,-9.14687853649657
125,31.25,-9.54486927938453
126,31.5,-9.99984100909717
127,31.75,-10.4984808593052
128,32,-11.0252375393757
129,32.25,-11.5634585387985
130,32.5,-12.096394317925
131,32.75,-12.6080202209676
132,33,-13.0836583873321
133,33.25,-13.510403997466
134,33.5,-13.8773719476535
135,33.75,-14.1757837037506
136,34,-14.3989132529342
