Sample_Index,Time_s,Clean_ADC
0,0,-91.7335737982753
1,0.25,-114.353696143566
2,0.5,-136.657462881273
3,0.75,-158.628458344683
4,1,-180.257769529233
5,1.25,-201.537460476853
6,1.5,-222.455064889238
7,1.75,-242.989178983202
8,2,-263.105962401209
9,2.25,-282.756225768023
10,2.5,-301.87281394695
11,2.75,-320.368136367822
12,3,-338.131865861886
13,3.25,-355.0289468627
14,3.5,-370.898085814707
15,3.75,-385.550857661199
16,4,-398.771505698341
17,4.25,-410.317494824852
18,4.5,-419.920930019746
19,4.75,-427.29106227797
20,5,-432.118230618532
21,5.25,-434.079677012204
22,5.5,-432.84767634021
23,5.75,-428.100323342764
24,6,-419.53511664841
25,6.25,-406.885202967207
26,6.5,-389.937833778934
27,6.75,-368.554287382149
28,7,-342.69025772431
29,7.25,-312.41552757832
30,7.5,-277.931627853535
31,7.75,-239.586124993912
32,8,-197.882161779067
33,8.25,-153.481901130555
34,8.5,-107.202599809433
35,8.75,-60.0041915715615
36,9,-12.9675147799098
37,9.25,32.7372888596885
38,9.5,75.8921039853649
39,9.75,115.280989133904
40,10,149.747156336619
41,10.25,178.25351688042
42,10.5,199.942252771396
43,10.75,214.187964248005
44,11,220.638807347974
45,11.25,219.240942811659
46,11.5,210.243528168644
47,11.75,194.183998193142
48,12,171.8558663976
49,12.25,144.263140192382
50,12.5,112.56633670739
51,12.75,78.0250316817911
52,13,41.9411581599707
53,13.25,5.60627034519625
54,13.5,-29.7450067127487
55,13.75,-62.9739766935257
56,14,-93.068674144652
57,14.25,-119.166453056726
58,14.5,-140.568907999846
59,14.75,-156.750126570713
60,15,-167.359537878963
61,15.25,-172.220641814923
62,15.5,-171.326681429885
63,15.75,-164.83393353348
64,16,-153.052866032877
65,16.25,-136.43707044546
66,16.5,-115.56970588103
67,16.75,-91.1472008320844
68,17,-63.960104402469
69,17.25,-34.8711804661023
70,17.5,-4.79102405507774
71,17.75,25.3483886370263
72,18,54.6217210339507
73,18.25,82.1392984395311
74,18.5,107.07645391341
75,18.75,128.702346306001
76,19,146.407160850855
77,19.25,159.726335771943
78,19.5,168.36022926128
79,19.75,172.187536168299
80,20,171.270871165324
81,20.25,165.853320167735
82,20.5,156.345435553405
83,20.75,143.303046056288
84,21,127.397223420907
85,21.25,109.37860463491
86,21.5,90.03883425678
87,21.75,70.1720611946931
88,22,50.5391960160561
89,22.25,31.837099851018
90,22.5,14.6741772510506
91,22.75,-0.446875654775446
92,23,-13.1390601649801
93,23.25,-23.1342145662535
94,23.5,-30.2801097375581
95,23.75,-34.5325783531112
96,24,-35.9439133203757
97,24.25,-34.6488168923359
98,24.5,-30.8491224482214
99,24.75,-24.7983672009308
100,25,-16.7870995902383
101,25.25,-7.12959552364699
102,25.5,3.84754084207039
103,25.75,15.8145923836505
104,26,28.4456179790976
105,26.25,41.423021973354
106,26.5,54.4399655704682
107,26.75,67.2009495219055
108,27,79.421075023775
109,27.25,90.8246584436747
110,27.5,101.14400413428
111,27.75,110.119190620321
112,28,117.499664409132
113,28.25,123.048242146594
114,28.5,126.547800372076
115,28.75,127.810519237115
116,29,126.689108006856
117,29.25,123.089055184809
118,29.5,116.980682326633
119,29.75,108.40967149147
120,30,97.5047748779955
121,30.25,84.4815703436952
122,30.5,69.6413718941569
123,30.75,53.364738366519
124,31,36.0994615801095
125,31.25,18.3434545909602
126,31.5,0.623546856414389
127,31.75,-16.5282825370404
128,32,-32.59936404818
129,32.25,-47.1195510888659
130,32.5,-59.6814574506969
131,32.75,-69.9564060446679
132,33,-77.7052971847049
133,33.25,-82.784125743661
134,33.5,-85.1443252922449
135,33.75,-84.8284593842681
136,34,-81.9620116230072
137,34.25,-76.7421610935552
138,34.5,-69.4244887390632
139,34.75,-60.3085619882
140,35,-49.7233008142828
141,35.25,-38.0129408390791
142,35.5,-25.5242749070473
143,35.75,-12.5956730176126
144,36,0.451837901402837
145,36.25,13.3213826805462
146,36.5,25.7450887402854
147,36.75,37.4872793063405
148,37,48.3463765501584
149,37.25,58.1558708456414
150,37.5,66.7846420568198
151,37.75,74.1368193776889
152,38,80.1512666695386
153,38.25,84.8007009182912
154,38.5,88.0904023142148
155,38.75,90.0564572414596
156,39,90.7634866189251
157,39.25,90.3018441116285
158,39.5,88.784310628792
159,39.75,86.3423501565691
160,40,83.1220163976147
161,40.25,79.2796054493872
162,40.5,74.9771401619314
163,40.75,70.3777554445515
164,41,65.6410405640135
165,41.25,60.9183930204347
166,41.5,56.3484549754859
167,41.75,52.0527394661934
168,42,48.1316054346705
169,42.25,44.6607960120601
170,42.5,41.6887962391836
171,42.75,39.235277478727
172,43,37.2908651092862
173,43.25,35.8183907650122
174,43.5,34.7556740866293
175,43.75,34.0197300114347
176,44,33.5121298801994
177,44.25,33.1250807511762
178,44.5,32.7476603761497
179,44.75,32.2715936982283
180,45,31.5960111245499
181,45.25,30.6307960860837
182,45.5,29.2983830235502
183,45.75,27.5341517681827
184,46,25.2858149655226
185,46.25,22.5123583776728
186,46.5,19.183141996869
187,46.75,15.2777016044492
188,47,10.7866232198889
189,47.25,5.71362609431973
190,47.5,0.0787216897407597
191,47.75,-6.07793829001042
192,48,-12.6921057123689
193,48.25,-19.672049174961
194,48.5,-26.8963976164307
195,48.75,-34.2137571835203
196,49,-41.444456907003
197,49.25,-48.3845641449383
198,49.5,-54.8121044151539
199,49.75,-60.4952428492526
200,50,-65.2020418488391
201,50.25,-68.7112992438647
202,50.5,-70.8238908491453
203,50.75,-71.3739924726777
204,51,-70.2395438366178
205,51.25,-67.3513435363243
206,51.5,-62.7002270959797
207,51.75,-56.3418696334357
208,52,-48.3988575909153
209,52.25,-39.0597798092809
210,52.5,-28.5751933512399
211,52.75,-17.2504284643637
212,53,-5.43531994486752
213,53.25,6.48890013241386
214,53.5,18.1251334151674
215,53.75,29.0777431826944
216,54,38.9708211480014
217,54.25,47.4663149850002
218,54.5,54.2807783833331
219,54.75,59.1994645749311
220,55,62.0866111609915
221,55.25,62.8910719326243
222,55.5,61.6469025800782
223,55.75,58.4690185474206
224,56,53.5445128226579
225,56.25,47.1205640351886
226,56.5,39.4900394638652
227,56.75,30.9759118605433
228,57,21.9155072379887
229,57.25,12.6454378820364
230,57.5,3.48789540331898
231,57.75,-5.26119320945986
232,58,-13.3418022528596
233,58.25,-20.5370421103353
234,58.5,-26.6779428356189
235,58.75,-31.6458766157038
236,59,-35.3728344768963
237,59.25,-37.8398708617893
238,59.5,-39.074088751103
239,59.75,-39.1445509214068
240,60,-38.157470512761
241,60.25,-36.2509646059285
242,60.5,-33.5895622258669
243,60.75,-30.3585618126037
244,61,-26.7582540877158
245,61.25,-22.9979847465985
246,61.5,-19.2900408453584
247,61.75,-15.8434048750175
248,62,-12.8575141044064
249,62.25,-10.5162584904774
250,62.5,-8.98251217955863
251,62.75,-8.39349304290076
252,63,-8.85717215998532
253,63.25,-10.4498246619398
254,63.5,-13.2146597279809
255,63.75,-17.1613365100056
256,64,-22.2661059918559
257,64.25,-28.4723384829044
258,64.5,-35.6912958225988
259,64.75,-43.8031520948064
260,65,-52.6584076532361
261,65.25,-62.0799333831661
262,65.5,-71.8658997365466
263,65.75,-81.793787836923
264,66,-91.6255678206595
265,66.25,-101.113992043212
266,66.5,-110.0098170475
267,66.75,-118.069662199958
268,67,-125.064152083194
269,67.25,-130.785984208966
270,67.5,-135.0576136396
271,67.75,-137.738338760164
272,68,-138.730680770927
273,68.25,-137.986037242013
274,68.5,-135.509622576158
275,68.75,-131.364665260364
276,69,-125.675716491217
277,69.25,-118.630763508816
278,69.5,-110.481674722075
279,69.75,-101.542375779882
280,70,-92.1841019530094
281,70.25,-82.8271162328366
282,70.5,-73.9284358230526
283,70.75,-65.9653725801618
284,71,-59.4150547814864
285,71.25,-54.7305344433984
286,71.5,-52.3145560925714
287,71.75,-52.492512071194
288,72,-55.4864660846443
289,72.25,-61.3923198394202
290,72.5,-70.1621737785527
291,72.75,-81.5936754955135
292,73,-95.3276896045502
293,73.25,-110.855032693955
294,73.5,-127.532382853
295,73.75,-144.606861418807
296,74,-161.24821961186
297,74.25,-176.587034942918
298,74.5,-189.756821722409
299,74.75,-199.937513629261
300,75,-206.397459399802
301,75.25,-208.53098236489
302,75.5,-205.888760729694
303,75.75,-198.198792821975
304,76,-185.376457910632
305,76.25,-167.523073664958
306,76.5,-144.913300997407
307,76.75,-117.972701410484
308,77,-87.2476711660678
309,77.25,-53.3707968762873
310,77.5,-17.0252807483898
311,77.75,21.0876943704298
312,78,60.2751111622994
313,78.25,99.8691718885077
314,78.5,139.234163336885
315,78.75,177.763872386077
316,79,214.872098124094
317,79.25,249.98017533005
318,79.5,282.506012064646
319,79.75,311.858775025596
320,80,337.442089055805
321,80.25,358.666749120947
322,80.5,374.971938717614
323,80.75,385.852307722753
324,81,390.887366837951
325,81.25,389.769646478954
326,81.5,382.328801499778
327,81.75,368.549946669804
328,82,348.585526657844
329,82.25,322.760612213617
330,82.5,291.571586017688
331,82.75,255.677944949187
332,83,215.886779933407
333,83.25,173.129732548451
334,83.5,128.432959270231
335,83.75,82.8816511550225
336,84,37.5815653722803
337,84.25,-6.3795439629734
338,84.5,-47.967918912478
339,84.75,-86.2352893879678
340,85,-120.34493578637
341,85.25,-149.592298599674
342,85.5,-173.420673272941
343,85.75,-191.432670571736
344,86,-203.397926214292
345,86.25,-209.257183179115
346,86.5,-209.122527410552
347,86.75,-203.27335708409
348,87,-192.147653271882
349,87.25,-176.328278598421
350,87.5,-156.524308335352
351,87.75,-133.547729822113
352,88,-108.286161419993
353,88.25,-81.6724749382709
354,88.5,-54.6523082389988
355,88.75,-28.1504220826955
